name,position,z_type,z_score,x
kaib/kaib__2_4/rank_017_alphafold2_model_5_seed_000_msa_extra_msa_2.npy,kaib__2_4,up,7.326159,2
kaib/kaib__2_4/rank_007_alphafold2_model_1_seed_004_msa_extra_msa_1.npy,kaib__2_4,common,55.791256,2
kaib/kaib__2_4/rank_007_alphafold2_model_1_seed_004_msa_extra_msa_1.npy,kaib__2_4,right,15.940851,2
kaib/kaib__2_4/rank_007_alphafold2_model_1_seed_004_msa_extra_msa_1.npy,kaib__2_4,up,4.859063,2
kaib/kaib__2_4/rank_001_alphafold2_model_4_seed_004_msa_extra_msa_0.npy,kaib__2_4,common,54.05891,2
kaib/kaib__2_4/rank_001_alphafold2_model_4_seed_004_msa_extra_msa_0.npy,kaib__2_4,right,24.897842,2
kaib/kaib__2_4/rank_001_alphafold2_model_4_seed_004_msa_extra_msa_0.npy,kaib__2_4,up,6.1620655,2
kaib/kaib__2_4/rank_010_alphafold2_model_3_seed_002_msa_extra_msa_2.npy,kaib__2_4,common,52.345154,2
kaib/kaib__2_4/rank_010_alphafold2_model_3_seed_002_msa_extra_msa_2.npy,kaib__2_4,right,11.95483,2
kaib/kaib__2_4/rank_010_alphafold2_model_3_seed_002_msa_extra_msa_2.npy,kaib__2_4,up,6.0037904,2
kaib/kaib__2_4/rank_010_alphafold2_model_3_seed_002_msa_extra_msa_0.npy,kaib__2_4,common,52.800476,2
kaib/kaib__2_4/rank_010_alphafold2_model_3_seed_002_msa_extra_msa_0.npy,kaib__2_4,right,20.098942,2
kaib/kaib__2_4/rank_010_alphafold2_model_3_seed_002_msa_extra_msa_0.npy,kaib__2_4,up,6.1631365,2
kaib/kaib__2_4/rank_001_alphafold2_model_4_seed_004_msa_extra_msa_2.npy,kaib__2_4,common,54.51658,2
kaib/kaib__2_4/rank_001_alphafold2_model_4_seed_004_msa_extra_msa_2.npy,kaib__2_4,right,14.983379,2
kaib/kaib__2_4/rank_001_alphafold2_model_4_seed_004_msa_extra_msa_2.npy,kaib__2_4,up,6.2620707,2
kaib/kaib__2_4/rank_007_alphafold2_model_1_seed_004_msa_extra_msa_3.npy,kaib__2_4,common,53.132545,2
kaib/kaib__2_4/rank_007_alphafold2_model_1_seed_004_msa_extra_msa_3.npy,kaib__2_4,right,11.908009,2
kaib/kaib__2_4/rank_007_alphafold2_model_1_seed_004_msa_extra_msa_3.npy,kaib__2_4,up,8.33508,2
kaib/kaib__2_4/rank_017_alphafold2_model_5_seed_000_msa_extra_msa_0.npy,kaib__2_4,common,46.683624,2
